Title,Character,Max Level,SA Level,Rarity,Type,ID,Special Skills,Leader Skill,Super Attack Name,Super Attack Effect,Passive Skill Name,Passive Skill,Links,Categories,HP,Attack,Defense,Transforms Into,EZA Leader Skill,EZA Super Attack Name,EZA Super Attack Effect,EZA Passive Skill,EZA HP,EZA Attack,EZA Defense,Transformation Type,Transformation Condition,EZA Transformation Condition,EZA Ultra Super Attack Name,EZA Ultra Super Attack Effect,Ultra Super Attack Name,Ultra Super Attack Effect,Active Skill Name,Active Skill,Activation Condition,EZA Active Skill Name,EZA Active Skill,EZA Activation Condition,Unit Super Attack Name,Unit Super Attack Effect,EZA Unit Super Attack Name,EZA Unit Super Attack Effect
Talent's in the Blood,Pan (GT),120,10,UR,Super PHY,11000,"[""Boost All"", ""Boost Type"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","AGL & PHY Type Ki +2, HP, ATK & DEF +30%",Kamehameha,Causes supreme damage; ATK +25% for allies for 1 turn,As Brave as Daddy,ATK & DEF +30% for all allies when HP is 30% or above,"[""All in the Family Lv 1: DEF +15%Lv 10: DEF +20%"", ""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""Battlefield Diva Lv 1: Ki +2Lv 10: Ki +3 and chance of evading enemy's attack (including Super Attack) +5%"", ""GT Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +10%"", ""The Innocents Lv 1: ATK +10%Lv 10: ATK +15%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Hybrid Saiyans"", ""Shadow Dragon Saga"", ""Goku's Family"", ""Youth"", ""Kamehameha"", ""GT Heroes""]","[""3406"", ""9897"", ""11897"", ""15297""]","[""2620"", ""7599"", ""9599"", ""12599""]","[""1693"", ""4910"", ""6910"", ""9510""]",,,,,,,,,,,,,,,,,,,,,,,,,
Brains and Brawn Combined,Super Saiyan Trunks (GT),120,10,UR,Super STR,11002,"[""Boost Type"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","TEQ & STR Type Ki +2, HP, ATK & DEF +30%",Buster Cannon,Causes supreme damage to enemy and greatly lowers DEF[1],Concentrated Power,ATK +100% when performing a Super Attack,"[""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Royal Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK +5%"", ""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Cold Judgment Lv 1: DEF +20%Lv 10: DEF +25%"", ""GT Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +10%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Hybrid Saiyans"", ""Shadow Dragon Saga"", ""Vegeta's Family"", ""Siblings' Bond"", ""Super Saiyans"", ""Battle of Wits"", ""GT Heroes""]","[""3181"", ""9227"", ""11227"", ""14227""]","[""2851"", ""8269"", ""10269"", ""13669""]","[""1516"", ""4398"", ""6398"", ""8998""]",,,,,,,,,,,,,,,,,,,,,,,,,
Lone Guardian,Super Saiyan Vegeta (GT),120,10,UR,Super TEQ,11003,"[""Boost All"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Defense""]",All Types Ki +2 and ATK & DEF +40%,Final Flash,Causes supreme damage to enemy and raises DEF by 30% for 6 turns,Indispensable Existence,ATK +90% when HP is 99% or below,"[""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""Royal Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK +5%"", ""GT Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +10%"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Shadow Dragon Saga"", ""Pure Saiyans"", ""Vegeta's Family"", ""Super Saiyans"", ""Worthy Rivals"", ""Gifted Warriors"", ""GT Heroes""]","[""3487"", ""8718"", ""9918"", ""11478""]","[""3223"", ""8058"", ""9258"", ""11298""]","[""1936"", ""4841"", ""6041"", ""7841""]",,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Resolve,Super Saiyan 2 Gohan (Youth),120,10,UR,Super INT,11006,"[""Boost Type"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)""]","INT Type Ki +3 and HP, ATK & DEF +70%",Super Kamehameha,Causes supreme damage to enemy and raises ATK for 1 turn[1],Emotional Release,ATK +15% for every Ki Sphere obtained,"[""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Gaze of Respect Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +10%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Shocking Speed Lv 1: Ki +2Lv 10: Ki +2 and DEF +5%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Hybrid Saiyans"", ""Full Power"", ""Goku's Family"", ""Youth"", ""Androids/Cell Saga"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Super Saiyan 2"", ""Exploding Rage"", ""Miraculous Awakening""]","[""3569"", ""9994"", ""11994"", ""14994""]","[""3344"", ""9365"", ""11365"", ""14365""]","[""1646"", ""4609"", ""6609"", ""9609""]",,,,,,,,,,,,,,,,,,,,,,,,,
Full-Tilt Kamehameha,Super Saiyan 2 Gohan (Youth),150,25,LR,Super INT,11007,"[""Boost Type"", ""Diverse Super Attack"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise Ki (Ki Sphere)"", ""Raise ATK (Ki Sphere)""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Father's Encouragement,,"[""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Gaze of Respect Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +10%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Shocking Speed Lv 1: Ki +2Lv 10: Ki +2 and DEF +5%"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%"", ""Legendary Power Lv 1: ATK +10% when performing a Super AttackLv 10: ATK +15% when performing a Super Attack""]","[""Hybrid Saiyans"", ""Full Power"", ""Goku's Family"", ""Youth"", ""Androids/Cell Saga"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Super Saiyan 2"", ""Exploding Rage"", ""All-Out Struggle"", ""Miraculous Awakening""]","[""5428"", ""15200"", ""17200"", ""20200""]","[""6062"", ""16975"", ""18975"", ""21975""]","[""3145"", ""8806"", ""10806"", ""13806""]",,"INT Type Ki +4 and HP, ATK & DEF +120%",Father-Son Kamehameha (Extreme),Raises DEF for 1 turn[1] and causes mega-colossal damage to enemy,"DEF +58%; plus an additional DEF +58% when performing a Super Attack; ATK +18% for every Ki Sphere obtained, and Ki +1 whenever Ki is raised with Ki Spheres",,,,,,, Father-Son Kamehameha (Extreme),"Greatly raises ATK for 1 turn[2], raises DEF for 1 turn[1] and causes mega-colossal damage to enemy",,,,,,,,,,,,
Beyond the Ferocious Flash,Majin Vegeta,150,25,LR,Extreme AGL,11016,"[""All-Target Super Attack"", ""Boost Type"", ""Critical Hit"", ""Damage Reduction"", ""Diverse Super Attack"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stun""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,For the Dearly Beloved,,"[""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Saiyan Pride Lv 1: ATK +15%Lv 10: ATK +20%"", ""Royal Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK +5%"", ""Over in a Flash Lv 1: Ki +3Lv 10: Ki +3 and ATK +7%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Legendary Power Lv 1: ATK +10% when performing a Super AttackLv 10: ATK +15% when performing a Super Attack""]","[""Resurrected Warriors"", ""Majin Buu Saga"", ""Pure Saiyans"", ""Vegeta's Family"", ""Worthy Rivals"", ""Super Saiyan 2"", ""Final Trump Card"", ""All-Out Struggle"", ""Connected Hope"", ""Corroded Body and Mind"", ""Gifted Warriors""]","[""5732"", ""16050"", ""18050"", ""20650""]","[""5667"", ""15870"", ""17870"", ""20870""]","[""3486"", ""9763"", ""11763"", ""15163""]",,"AGL Type Ki +4 and HP, ATK & DEF +120%",Final Impact (Extreme),Raises ATK for 1 turn[2] and causes mega-colossal damage with a medium chance of stunning the enemy[3],"DEF +150%; ATK +180% when performing a Super Attack; Ki +2 and reduces damage received by 20% when there is an ally whose name includes ""Bulma (disambiguation)"" on the team; Ki +2 plus an additional ATK & DEF +20% when there is an ally whose name includes ""Trunks (disambiguation)"" on the team; Ki +2 and chance of performing a critical hit +20% when the name of an ally who is attacking in the same turn or an enemy includes ""Goku (disambiguation)"" (Youth, Captain Ginyu, Jr., etc. excluded); Ki +12 and performs a critical hit when HP is 30% or less (once only)",,,,,,, Final Explosion (Extreme),Raises ATK for 1 turn[2] and causes colossal damage to all enemies with a medium chance of stunning them[5],,,,,,,,,,,,
Burgeoning Strength,Super Saiyan 3 Goku (Angel),120,10,UR,Super PHY,11025,"[""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stun""]","STR & PHY Type Ki +3 and HP, ATK & DEF +30%",Super Dragon Twin Fists,Causes supreme damage with a rare chance to stun the enemy[1],Time-Bound Transformation,Ki +3 and ATK & DEF +7000 at start of turn,"[""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""Over in a Flash Lv 1: Ki +3Lv 10: Ki +3 and ATK +7%"", ""Limit-Breaking Form Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Revival Lv 1: Ki +2Lv 10: Ki +2; ATK & DEF +5% and recovers 5% HP when HP is 50% or less"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Resurrected Warriors"", ""Majin Buu Saga"", ""Super Saiyan 3"", ""Pure Saiyans"", ""Movie Heroes"", ""Goku's Family"", ""Otherworld Warriors"", ""Turtle School"", ""Attained Evolution""]","[""3430"", ""9949"", ""11149"", ""13189""]","[""2576"", ""7471"", ""8671"", ""10471""]","[""1628"", ""4723"", ""5923"", ""7483""]",,,,,,,,,,,,,,,,,,,,,,,,,
Astounding Transformation,Super Saiyan 3 Goku (Angel),120/140,15,UR,Super TEQ,11026,"[""Attack Effective to All"", ""Boost Type"", ""Change Ki Spheres"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)"", ""Stun""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Earth-Shaking Strength,,"[""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""Revival Lv 1: Ki +2Lv 10: Ki +2; ATK & DEF +5% and recovers 5% HP when HP is 50% or less"", ""Over in a Flash Lv 1: Ki +3Lv 10: Ki +3 and ATK +7%"", ""Limit-Breaking Form Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Resurrected Warriors"", ""Majin Buu Saga"", ""Super Saiyan 3"", ""Pure Saiyans"", ""Movie Heroes"", ""Goku's Family"", ""Otherworld Warriors"", ""Turtle School"", ""Attained Evolution""]","[""4829"", ""10625"", ""12625"", ""15225""]","[""5159"", ""11350"", ""13350"", ""16750""]","[""2102"", ""4625"", ""6625"", ""9625""]",,"Super_TEQ Type Ki +3 and HP, ATK & DEF +130%;<br/>Extreme_TEQ Type Ki +3 and HP, ATK & DEF +90%",Super Dragon Twin Fists (Extreme),Raises ATK & DEF for 1 turn[2] and causes immense damage with a medium chance of stunning the enemy[3],"ATK & DEF +130%; high chance[4] of randomly changing Ki Spheres of a certain Type (TEQ excluded) to <a class=""image"" href=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/4/48/Rainbow_icon.png/revision/latest?cb=20160701152817""><img alt=""Rainbow icon.png"" class=""lazyload"" data-image-key=""Rainbow_icon.png"" data-image-name=""Rainbow icon.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/4/48/Rainbow_icon.png/revision/latest/scale-to-width-down/30?cb=20160701152817"" decoding=""async"" height=""30"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/></a> Ki Spheres; plus an additional ATK & DEF +30% per Rainbow Ki Ki Sphere obtained; attacks effective against all Types for 7 turns from start of turn","[""11326"", ""12027"", ""12728"", ""13430"", ""15430"", ""18030""]","[""12098"", ""12848"", ""13597"", ""14346"", ""16346"", ""19746""]","[""4930"", ""5235"", ""5541"", ""5846"", ""7846"", ""10846""]",,,,,,,,,,,,,,,,,
Returning from the Otherworld,Super Saiyan 2 Goku (Angel),120,10,UR,Super TEQ,11027,"[""Boost Type"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]",TEQ & PHY Type Ki +3 and HP & DEF +70%,Super Kamehameha,Causes supreme damage to enemy,For His Friends,Ki +5 and ATK +12000 as the 3rd attacker in a turn,"[""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Resurrected Warriors"", ""Majin Buu Saga"", ""Pure Saiyans"", ""Goku's Family"", ""Kamehameha"", ""Otherworld Warriors"", ""Super Saiyan 2"", ""Turtle School"", ""Time Limit"", ""Attained Evolution""]","[""3188"", ""9246"", ""11246"", ""13846""]","[""2873"", ""8333"", ""10333"", ""13733""]","[""1550"", ""4495"", ""6495"", ""9495""]",,,,,,,,,,,,,,,,,,,,,,,,,
Dark Intentions,Masked Saiyan,120/140,15,UR,Extreme TEQ,11029,"[""Boost All"", ""Lower ATK"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Shadowy Strength,,"[""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Brutal Beatdown Lv 1: ATK +10%Lv 10: ATK +15%"", ""Berserker Lv 1: ATK +20% when HP is 50% or lessLv 10: ATK +30% when HP is 50% or less"", ""Over 9000 Lv 1: ATK +10%Lv 10: ATK & DEF +10%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Pure Saiyans"", ""Time Travelers"", ""Goku's Family"", ""Crossover"", ""Corroded Body and Mind"", ""Storied Figures""]","[""3481"", ""10095"", ""12095"", ""14695""]","[""3292"", ""9548"", ""11548"", ""14948""]","[""1428"", ""4143"", ""6143"", ""9143""]",,"All Types Ki +3 and HP, ATK & DEF +80%",Dark Rebellion Trigger (Extreme),"Raises ATK & DEF[2], causes immense damage to enemy and lowers ATK & DEF[1]","ATK & DEF +100%; Ki +1 plus an additional ATK +50% when facing 2 or fewer enemies, and an additional Ki +1 and ATK & DEF +30% when facing only 1 enemy","[""10895"", ""11695"", ""12496"", ""13296"", ""15296"", ""17896""]","[""10305"", ""11062"", ""11819"", ""12576"", ""14576"", ""17976""]","[""4471"", ""4800"", ""5128"", ""5457"", ""7457"", ""10457""]",,,,,,,,,,,,,,,,,
Furious Charge,Super Saiyan Bardock,120,10,UR,Super TEQ,11030,"[""Change Ki Spheres"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Seal Super Attack""]",TEQ & AGL Type Ki +3 and HP & DEF +70%,Spirit of Saiyans,Causes supreme damage and seals Super Attack,Swift Incisions,Change STR Ki Spheres to TEQ Ki Spheres; ATK +40%,"[""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Family Ties Lv 1: Ki +2Lv 10: Ki +2 and ATK +10%"", ""Saiyan Pride Lv 1: ATK +15%Lv 10: ATK +20%"", ""The First Awakened Lv 1: ATK +25%Lv 10: ATK +25% and DEF +10%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Resurrected Warriors"", ""Pure Saiyans"", ""Time Travelers"", ""Goku's Family"", ""Super Saiyans"", ""Exploding Rage"", ""Revenge"", ""Crossover"", ""Powerful Comeback"", ""Storied Figures"", ""Legendary Existence""]","[""3115"", ""9152"", ""11152"", ""13752""]","[""2860"", ""8296"", ""10296"", ""13696""]","[""1582"", ""4590"", ""6590"", ""9590""]",,,,,,,,,,,,,,,,,,,,,,,,,
Courage in the Heat of Battle,Super Saiyan Bardock,120,10,UR,Super PHY,11031,"[""Boost All"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Seal Super Attack""]","All Types Ki +2 and HP, ATK & DEF +20%",Spirit of Saiyans,Causes supreme damage and seals Super Attack,Thirsting Strength,Ki +2 and ATK +20% for all allies when HP is 30% or above,"[""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Family Ties Lv 1: Ki +2Lv 10: Ki +2 and ATK +10%"", ""Team Bardock Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +10%"", ""Saiyan Pride Lv 1: ATK +15%Lv 10: ATK +20%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""The First Awakened Lv 1: ATK +25%Lv 10: ATK +25% and DEF +10%"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Resurrected Warriors"", ""Pure Saiyans"", ""Time Travelers"", ""Goku's Family"", ""Super Saiyans"", ""Exploding Rage"", ""Revenge"", ""Crossover"", ""Powerful Comeback"", ""Storied Figures"", ""Legendary Existence""]","[""3513"", ""10190"", ""12190"", ""15590""]","[""2704"", ""7842"", ""9842"", ""12842""]","[""1600"", ""4641"", ""6641"", ""9241""]",,,,,,,,,,,,,,,,,,,,,,,,,
Chance of a Super Evolution,Super Saiyan 2 Bardock,120,10,UR,Super STR,11032,"[""Boost All"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack""]","All Types Ki +2 and HP, ATK & DEF +30%",Final Spirit Cannon,Causes supreme damage to enemy and raises ATK for 6 turns[1],Roaring Courage,ATK +30% for all allies when HP is 30% or above,"[""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Team Bardock Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +10%"", ""Saiyan Pride Lv 1: ATK +15%Lv 10: ATK +20%"", ""Family Ties Lv 1: Ki +2Lv 10: Ki +2 and ATK +10%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Resurrected Warriors"", ""Pure Saiyans"", ""Time Travelers"", ""Goku's Family"", ""Super Saiyan 2"", ""Revenge"", ""Crossover"", ""Powerful Comeback"", ""Storied Figures""]","[""3416"", ""9907"", ""11907"", ""14907""]","[""2743"", ""7956"", ""9956"", ""13356""]","[""1598"", ""4637"", ""6637"", ""9237""]",,,,,,,,,,,,,,,,,,,,,,,,,
Searching for a Sweetheart,Bulma (Youth),120/140,15,UR,Super PHY,11033,"[""Boost Type"", ""Evasion"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Recovery"", ""Recovery (Ki Sphere)"", ""Stack Attack"", ""Stack Defense""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Research and Preparation,,"[""Battlefield Diva Lv 1: Ki +2Lv 10: Ki +3 and chance of evading enemy's attack (including Super Attack) +5%"", ""Solid Support Lv 1: ATK +10% and all enemies' DEF -15%Lv 10: ATK +15% and all enemies' DEF -20%"", ""Brainiacs Lv 1: ATK & DEF +10%Lv 10: ATK & DEF +15%"", ""The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%"", ""Guidance of the Dragon Balls Lv 1: ATK +20%Lv 10: ATK +20% and chance of performing a critical hit +7%"", ""Scientist Lv 1: Ki +2Lv 10: Ki +2 and DEF +20%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Peppy Gals"", ""Dragon Ball Seekers"", ""Youth"", ""DB Saga"", ""Earthlings""]","[""2533"", ""7348"", ""9348"", ""12748""]","[""2406"", ""6980"", ""8980"", ""11980""]","[""1327"", ""3851"", ""5851"", ""8451""]",,"AGL & PHY Type Ki +3 and HP, ATK & DEF +90%",Rocket Launcher (Extreme),Causes supreme damage to enemy and recovers 5% HP,Ki +4 and ATK & DEF +100%; plus an additional ATK & DEF +50% when performing a Super Attack; medium chance[1] of evading enemy's attack (including Super Attack); plus an additional ATK & DEF +10% with each attack evaded (up to 50%); plus an additional ATK & DEF +10% with each attack received (up to 50%); recovers 5% HP per Rainbow Ki Ki Sphere obtained,"[""7930"", ""8513"", ""9095"", ""9678"", ""11678"", ""15078""]","[""7533"", ""8086"", ""8640"", ""9193"", ""11193"", ""14193""]","[""4156"", ""4462"", ""4767"", ""5072"", ""7072"", ""9672""]",,,,,,,,,,,,,,,,,
Courage Awakened,Super Saiyan Goku Jr.,120/140,15,UR,Super INT,11036,"[""Boost Category"", ""Boost Type"", ""Debuff"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Unbeatable Courage,,"[""Courage Lv 1: Ki +1Lv 10: Ki +2 and ATK +10%"", ""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""All in the Family Lv 1: DEF +15%Lv 10: DEF +20%"", ""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""GT Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +10%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Hybrid Saiyans"", ""Dragon Ball Seekers"", ""Goku's Family"", ""Youth"", ""Super Saiyans"", ""Miraculous Awakening"", ""GT Heroes""]","[""2636"", ""6590"", ""8190"", ""10590""]","[""2588"", ""6590"", ""8190"", ""10590""]","[""1217"", ""3044"", ""4644"", ""7044""]",,"""Dragon Ball Seekers"" Category Ki +3 and HP, ATK & DEF +77%;<br/>or<br/>INT Type Ki +2 and HP, ATK & DEF +30%",Brave Smash (Extreme),Raises DEF for 1 turn[1] and causes supreme damage to enemy,Ki +2 at start of turn; ATK +60% with a great chance[3] of an additional ATK & DEF +60% when performing a Super Attack,"[""7068"", ""7546"", ""8025"", ""8503"", ""10103"", ""12503""]","[""7074"", ""7558"", ""8042"", ""8527"", ""10127"", ""12527""]","[""3265"", ""3486"", ""3707"", ""3928"", ""5528"", ""7928""]",,,,,,,,,,,,,,,,,
