Title,Character,Max Level,SA Level,Rarity,Type,ID,Special Skills,Leader Skill,Super Attack Name,Super Attack Effect,Passive Skill Name,Passive Skill,Categories,HP,Attack,Defense,Transforms Into,EZA Leader Skill,EZA Super Attack Name,EZA Super Attack Effect,EZA Passive Skill,EZA HP,EZA Attack,EZA Defense,Transformation Type,Transformation Condition,EZA Transformation Condition,EZA Ultra Super Attack Name,EZA Ultra Super Attack Effect,Ultra Super Attack Name,Ultra Super Attack Effect,Active Skill Name,Active Skill,Activation Condition,EZA Active Skill Name,EZA Active Skill,EZA Activation Condition,Unit Super Attack Name,Unit Super Attack Effect,EZA Unit Super Attack Name,EZA Unit Super Attack Effect
Heinous Attack,Cooler (Final Form),120,10-Jan,UR,Extreme TEQ,1910,"[""Additional Attack"", ""Attack Effective to All"", ""Boost All"", ""Lower ATK"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Defense""]","AGL, TEQ & PHY Type Ki +2 and HP, ATK & DEF +30%",Thunder Flash,Causes supreme damage to enemy and greatly lowers ATK[1],Courageous Soul,ATK +100%; all enemies' DEF -50%,"[""Movie Bosses"", ""Transformation Boost"", ""Wicked Bloodline"", ""Terrifying Conquerors"", ""Target: Goku"", ""Final Trump Card"", ""Space-Traveling Warriors"", ""Planetary Destruction""]","[""3285"", ""9529"", ""11529"", ""14129""]","[""2795"", ""8107"", ""10107"", ""13507""]","[""1598"", ""4637"", ""6637"", ""9637""]",42092,"Extreme_STR Type Ki +3 and HP, ATK & DEF +130%;<br/>Super_STR Type Ki +3 and HP, ATK & DEF +90%",Rakshasa's Claw (Extreme),Causes immense damage to enemy and massively lowers DEF[2],ATK & DEF +100% and guards all attacks; medium chance[3] of evading enemy's attack (including Super Attack); chance of evading enemy's attack (including Super Attack) +10% within the same turn with each attack evaded (including Super Attack),"[""7259"", ""7820"", ""8381"", ""8942"", ""10542"", ""12942""]","[""7069"", ""7621"", ""8173"", ""8725"", ""10325"", ""12725""]","[""3301"", ""3524"", ""3747"", ""3970"", ""5570"", ""7970""]",,,,,,,,,,,,,,,,,
Almighty Cleave,Cooler,120/140,15-Jan,UR,Extreme AGL,1911,"[""Raise HP"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Galactic Donut,Causes supreme damage to enemy and lowers DEF[1],Whoop of Victory,ATK +15% per Ki Sphere obtained,"[""Movie Bosses"", ""Transformation Boost"", ""Wicked Bloodline"", ""Terrifying Conquerors"", ""Target: Goku"", ""Space-Traveling Warriors"", ""Planetary Destruction""]","[""2398"", ""6955"", ""8155"", ""9715""]","[""2707"", ""7852"", ""9052"", ""10852""]","[""1666"", ""4833"", ""6033"", ""8073""]",42095,"All Types Ki +2 and HP, ATK & DEF +100%",Present Bomb (Extreme),Causes colossal damage with a medium chance of stunning the enemy[2],Great chance[4] of Ki +7 and ATK +77%; Ki +3 and DEF +77% for 3 turns from start of turn; high chance[5] of evading enemy's attack (including Super Attack) for 3 turns after receiving attack; attacked enemy's ATK -22% for 3 turns,"[""9482"", ""10219"", ""10957"", ""11695"", ""13695"", ""17095""]","[""9136"", ""9847"", ""10557"", ""11268"", ""13268"", ""16268""]","[""4614"", ""4972"", ""5331"", ""5690"", ""7690"", ""10290""]",,,,,,,,,,,,,,,,,
Burst of Fighting Spirit,Piccolo,120,10-Jan,UR,Super INT,1922,"[""Diverse Super Attack"", ""Raise HP"", ""Raise DEF""]",HP +80%,Kamehameha,Causes supreme damage to enemy and raises allies' ATK by 20% for 1 turn,Grand Wish,"ATK +77% at start of turn, plus an additional ATK +23% as the 1st attacker in a turn","[""Namekians"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Battle of Wits"", ""Gifted Warriors"", ""Planetary Destruction""]","[""3296"", ""9230"", ""11230"", ""14230""]","[""2461"", ""6892"", ""8892"", ""11892""]","[""2242"", ""6279"", ""8279"", ""11279""]",42106,"TEQ and STR Type Ki +3 and HP, ATK & DEF +90%",Hyper Tornado (Extreme),Causes supreme damage to enemy and greatly lowers ATK & DEF[2],"ATK +81%; plus an additional ATK & DEF +98% when attacking; Ki +3 when facing only 1 enemy; ""Otherworld Warriors"" Category allies' DEF +40%","[""8539"", ""9155"", ""9772"", ""10388"", ""12388"", ""14988""]","[""8993"", ""9642"", ""10291"", ""10940"", ""12940"", ""15940""]","[""5341"", ""5727"", ""6112"", ""6498"", ""8498"", ""11898""]",,,,,,,,,,,,,,,,,
Budding Heart,Piccolo,150,20-Jan,LR,Super INT,1923,"[""Raise ATK"", ""Raise DEF"", ""Stun""]",HP +150%,Dragon Light Bullet,Causes supreme damage to enemy and greatly lowers DEF[1],Unfathomable Speed,All allies Ki +2 and ATK & DEF +25%,"[""Namekians"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Battle of Wits"", ""Gifted Warriors"", ""Planetary Destruction""]","[""4910"", ""14300"", ""16300"", ""19300""]","[""3140"", ""10030"", ""12030"", ""15030""]","[""4140"", ""13100"", ""15100"", ""18100""]",42130,"Super_PHY Type Ki +3 and HP, ATK & DEF +130%;<br/>Extreme_PHY Type Ki +3 and HP, ATK & DEF +90%",Galactic Donut (Extreme)[7] Charging Ultra Buu Buu Volleyball (Extreme)[8] Life-Risking Blow (Extreme)[9],"Causes immense damage to enemy and massively lowers DEF[4]Massively raises ATK for 1 turn[2], causes immense damage to enemy and attacks effective against all TypesGreatly raises ATK for 1 turn[5] and causes immense damage to enemy","ATK & DEF +150%; plus an additional ATK +70%, DEF +30% and medium chance[6] of evading enemy's attack (including Super Attack) for 7 turns from start of turn","[""\u221e"", ""\u221e"", ""\u221e"", ""\u221e"", ""\u221e"", ""\u221e""]","[""51209"", ""52419"", ""53629"", ""54839"", ""56839"", ""59839""]","[""\u221e"", ""\u221e"", ""\u221e"", ""\u221e"", ""\u221e"", ""\u221e""]",,,,,,,,,,,,,,,,,
Beyond Destiny,Karoly,120,10-Jan,UR,Super TEQ,1924,"[""Raise HP"", ""Raise ATK"", ""Raise DEF""]",TEQ Type ATK & DEF +70%,Kamehameha,Causes supreme damage to enemy,Mastery of Strength,ATK & DEF +70% at start of turn; turns into Giant Ape when conditions are met,"[""Fusion"", ""Crossover""]","[""3854"", ""9756"", ""11756"", ""14356""]","[""3007"", ""8095"", ""10095"", ""13495""]","[""2138"", ""4163"", ""6163"", ""9163""]",42139,"Extreme_TEQ Type Ki +3 and HP, ATK & DEF +130%;<br/>Super_TEQ Type Ki +3 and HP, ATK & DEF +90%",Gigantic Omega (Extreme),Causes immense damage to enemy and massively lowers DEF[2],ATK & DEF +120%; plus an additional ATK +12% but DEF -6% per Ki Sphere obtained; medium chance[3] of launching an additional Super Attack with 3 or more TEQ Ki Spheres obtained,"[""6274"", ""6699"", ""7124"", ""7548"", ""8748"", ""10548""]","[""9479"", ""10121"", ""10763"", ""11404"", ""12604"", ""14404""]","[""4454"", ""4756"", ""5057"", ""5359"", ""6559"", ""8359""]",,,,,,,,,,,,,,,,,
Energetic Fighter,Pandel,120,10-Jan,UR,Super INT,1925,"[""Boost All"", ""Raise Ki"", ""Raise HP"", ""Raise DEF""]",INT Type HP & DEF +70%,Super Flame Cannon,Causes destructive damage to enemy,Never-Ending Horror,-,"[""Peppy Gals"", ""Fusion"", ""Hybrid Saiyans"", ""Crossover""]","[""3229"", ""8653"", ""10653"", ""13653""]","[""3044"", ""7874"", ""9874"", ""12874""]","[""2635"", ""4990"", ""6990"", ""9990""]",42144,"INT Type Ki +2 and HP, ATK & DEF +70%",Heat Dome Attack (Extreme),Causes supreme damage to enemy and lowers ATK & DEF[1],"DEF +100%; ATK +100% when facing 2 or fewer enemies; plus an additional ATK +50% and great chance[2] of performing a critical hit when there is an ""Androids"" Category enemy","[""8633"", ""9217"", ""9802"", ""10386"", ""11986"", ""14386""]","[""5591"", ""5970"", ""6348"", ""6727"", ""8327"", ""10727""]","[""4164"", ""4446"", ""4728"", ""5010"", ""6610"", ""9010""]",,,,,,,,,,,,,,,,,
Proud Bloodline,Bulpan,120,10-Jan,UR,Super AGL,1926,"[""Additional Attack"", ""Boost All"", ""Counterattack"", ""Damage Reduction"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]",AGL Type HP & DEF +70%,Holy Light Grenade,Causes supreme damage to enemy and raises DEF by 30% for 3 turns,End of Everything,Recovers 10% HP at start of turn;<br/>ATK +25% with each attack received (up to 100%),"[""Peppy Gals"", ""Fusion"", ""Hybrid Saiyans"", ""Youth"", ""Crossover""]","[""3775"", ""9021"", ""11021"", ""13621""]","[""3027"", ""7801"", ""9801"", ""12801""]","[""2610"", ""4898"", ""6898"", ""10298""]",42220,"""Hybrid Saiyans"" Category Ki +3 and HP, ATK & DEF +77%;<br/>or<br/>PHY Type Ki +2 and HP, ATK & DEF +30%",Victory Rush (Extreme)[2],Raises DEF for 1 turn[1] and causes supreme damage to enemy,ATK & DEF +60% at start of turn; Ki +2 and ATK +50% for 5 turns after receiving attack,"[""7922"", ""8458"", ""8994"", ""9531"", ""11131"", ""13531""]","[""6575"", ""7020"", ""7465"", ""7910"", ""9510"", ""11910""]","[""3291"", ""3513"", ""3736"", ""3959"", ""5559"", ""7959""]",,,,,,,,,,,,,,,,,
Azure Omnipotence,Super Saiyan God SS Vegito,120/140,15-Jan,UR,Super PHY,1933,"[""Boost All"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Defense""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Holy Light Grenade,Causes colossal damage to enemy and raises DEF by 30% for 3 turns,Warrior of the Galaxy,Recovers 15% HP at start of turn;<br/>ATK +30% with each attack received (up to 120%),"[""Realm of Gods"", ""Potara"", ""Future Saga"", ""Time Travelers"", ""Kamehameha"", ""Final Trump Card"", ""Battle of Wits"", ""Time Limit""]","[""5421"", ""10300"", ""12300"", ""15700""]","[""6052"", ""11500"", ""13500"", ""16500""]","[""2395"", ""4551"", ""6551"", ""9151""]",42260,"All Types Ki +3 and HP, ATK & DEF +60%",Super Kamehameha (Extreme),Greatly raises ATK & DEF for 1 turn[2] and causes supreme damage to enemy,ATK & DEF +100%; all allies' Ki +2 and ATK & DEF +35%; medium chance[3] of performing a critical hit and medium chance[4] of evading enemy's attack (including Super Attack) starting from the turn in which the character has performed a third Super Attack in battle,"[""7339"", ""7836"", ""8333"", ""8830"", ""10430"", ""12830""]","[""7093"", ""7573"", ""8053"", ""8533"", ""10133"", ""12533""]","[""2935"", ""3133"", ""3332"", ""3530"", ""5130"", ""7530""]",,,,,,,,,,,,,,,,,
Rose Stained Super Saiyan,Goku Black (Super Saiyan Rosé),120/140,15-Jan,UR,Extreme AGL,1935,"[""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Final Spirit Cannon,Greatly raises ATK for 1 turn[1] and causes supreme damage to enemy,Leave No Friend Behind,AGL and STR Types Ki +2 and ATK +30%,"[""Realm of Gods"", ""Potara"", ""Future Saga"", ""Time Travelers"", ""Inhuman Deeds"", ""Corroded Body and Mind""]","[""6010"", ""11420"", ""13420"", ""16020""]","[""5315"", ""10100"", ""12100"", ""15100""]","[""2502"", ""4755"", ""6755"", ""10155""]",42289,"All Types Ki +3 and HP, ATK & DEF +120%",Spirit Bomb (Extreme),Causes colossal damage to enemy and raises allies' ATK & DEF by 20% for 2 turns,"ATK & DEF +77%; Ki +1, ATK, DEF and chance of performing a critical hit +7%, and recovers 7777 HP per Ki Sphere obtained; plus an additional DEF +1000 per Ki Sphere obtained for 1000 turns from start of turn; plus an additional ATK +2000 per Ki Sphere obtained for 2000 turns from start of turn","[""7856"", ""8388"", ""8920"", ""9452"", ""11052"", ""13452""]","[""7377"", ""7876"", ""8376"", ""8875"", ""10475"", ""12875""]","[""2320"", ""2477"", ""2634"", ""2791"", ""4391"", ""6791""]",,,,,,,,,,,,,,,,,
Staggering Force,Frieza (1st Form),120,10-Jan,UR,Extreme STR,1937,"[""Boost All"", ""Diverse Super Attack"", ""Lower ATK"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]",All Types ATK +4000,Double Eraser Cannon,Causes supreme damage to enemy,Powers Combined,Ki +3 and ATK +70% at start of turn,"[""Planet Namek Saga"", ""Transformation Boost"", ""Wicked Bloodline"", ""Dragon Ball Seekers"", ""Terrifying Conquerors"", ""Inhuman Deeds"", ""Space-Traveling Warriors"", ""Gifted Warriors"", ""Planetary Destruction"", ""Sworn Enemies""]","[""3128"", ""8759"", ""10759"", ""13759""]","[""3175"", ""9040"", ""11040"", ""14440""]","[""1434"", ""3829"", ""5829"", ""8429""]",42295,"All Types Ki +3 and HP, ATK & DEF +120%",Power Pole (Extreme),Causes colossal damage with a medium chance of stunning the enemy[2],"Ki +2 and ATK & DEF +77% at start of turn; Ki +7 plus an additional ATK +58% and disables enemy's guard when HP is 58% or less; reduces damage received by 58% when there is an ally whose name includes ""Goku (disambiguation)"" (Youth, Captain Ginyu, Jr., etc. excluded) attacking in the same turn","[""7726"", ""8248"", ""8771"", ""9294"", ""10894"", ""13294""]","[""7655"", ""8173"", ""8691"", ""9210"", ""10810"", ""13210""]","[""4130"", ""4410"", ""4690"", ""4969"", ""6569"", ""8969""]",,,,,,,,,,,,,,,,,
Reign of Terror,Frieza (1st Form),150,25-Jan,LR,Extreme STR,1938,"[""Boost Type"", ""Counterattack"", ""Evasion"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Defense""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Sleepy Boy Technique,Causes supreme damage to enemy and seals Super Attack,Warped Aesthetics,ATK & DEF +70% at start of turn; survive K.O. attacks when HP is 20% or above,"[""Planet Namek Saga"", ""Transformation Boost"", ""Wicked Bloodline"", ""Dragon Ball Seekers"", ""Terrifying Conquerors"", ""Inhuman Deeds"", ""Space-Traveling Warriors"", ""Gifted Warriors"", ""Planetary Destruction"", ""Sworn Enemies""]","[""4900"", ""14400"", ""16400"", ""19400""]","[""5910"", ""16280"", ""18280"", ""21680""]","[""3430"", ""7450"", ""9450"", ""12050""]",42305,"""Giant Form"" Category Ki +3 and HP, ATK & DEF +160%;<br/>maximum number of turning Giant Form +1 for all allies[1]",Brave Sword Attack (Extreme),Causes immense damage to enemy and lowers ATK & DEF[3],ATK & DEF +120% and reduces damage received by 50%; ATK +80% when HP is 50% or less; breaks Phantom Majin's seal when conditions are met,"[""5469"", ""5839"", ""6209"", ""6580"", ""8180"", ""10580""]","[""7131"", ""7614"", ""8097"", ""8580"", ""11080"", ""12580""]","[""3807"", ""4065"", ""4323"", ""4580"", ""6180"", ""8580""]",,,,,,,,,,,,,,,,,
Ultimate Super Saiyan,Super Saiyan 4 Goku,120/140,15-Jan,UR,Super STR,1943,"[""Raise Ki"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",100x Big Bang Kamehameha,Greatly raises ATK & DEF for 1 turn[1] and causes immense damage to enemy,Unmitigated Panic,ATK +120%; Extreme Class enemies' ATK & DEF -20%; great chance[2] of evading enemy's Super Attack and countering with tremendous power,"[""Pure Saiyans"", ""Goku's Family"", ""Kamehameha"", ""Giant Ape Power"", ""Turtle School"", ""Miraculous Awakening"", ""GT Heroes""]","[""5151"", ""11333"", ""13333"", ""16333""]","[""5207"", ""11456"", ""13456"", ""16856""]","[""2051"", ""4514"", ""6514"", ""9114""]",,"""Giant Form"" Category Ki +3 and HP, ATK & DEF +160%;<br/>maximum number of turning Giant Form +1 for all allies[1]",Phantom Demon Flame Cannon (Extreme),"Greatly raises ATK temporarily[2], causes destructive damage to enemy and lowers DEF[3]",Evades enemy's attack (including Super Attack),"[""11115"", ""11980"", ""12844"", ""13709"", ""15709"", ""18309""]","[""8521"", ""9184"", ""9847"", ""10510"", ""12510"", ""15510""]","[""4769"", ""5140"", ""5511"", ""5882"", ""7882"", ""11282""]",,,,,,,,,,,,,,,,,
Furious Instincts,Great Saiyaman (SS2),120,10-Jan,UR,Super PHY,1948,"[""Boost All"", ""Boost Category"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]",AGL and PHY Type Ki +2 and ATK & DEF +50%,Minus Energy Power Ball,Causes immense damage to enemy and greatly lowers DEF[1],Light of Miracles,ATK +120%; all enemies' ATK & DEF -20%; launches an additional attack which has a chance to become a Super Attack[2],"[""Hybrid Saiyans"", ""World Tournament"", ""Majin Buu Saga"", ""Goku's Family"", ""Siblings' Bond"", ""Kamehameha"", ""Super Saiyan 2"", ""Exploding Rage"", ""Special Pose"", ""Defenders of Justice""]","[""3015"", ""8745"", ""10745"", ""14145""]","[""2880"", ""8352"", ""10352"", ""13352""]","[""1498"", ""4347"", ""6347"", ""8947""]",,"""Low-Class Warrior"" Category Ki +4, HP & DEF +60% and ATK +100%;<br/>or<br/>INT Type Ki +3 and HP, ATK & DEF +50%",Weekend (Extreme),Causes supreme damage to all enemies and lowers DEF[2],"ATK & DEF +80% at start of turn; Ki +6, ATK & DEF +60% and Super Class enemies' ATK & DEF -10% when facing 2 or more enemies","[""10509"", ""11327"", ""12144"", ""12962"", ""14962"", ""18362""]","[""9532"", ""10274"", ""11015"", ""11757"", ""13757"", ""16757""]","[""3809"", ""4105"", ""4402"", ""4698"", ""6698"", ""9298""]",,,,,,,,,,,,,,,,,
Striking in Harmony,Super Saiyan 2 Gohan (Youth),120/140,15-Jan,UR,Super STR,1950,"[""Boost All"", ""Lower DEF"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Recovery""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Final Spirit Cannon,Greatly raises ATK for 1 turn[1] and causes supreme damage to enemy,Princely Pressure,ATK +100% when HP is 30% or more; turns into Giant Ape when conditions are met,"[""Hybrid Saiyans"", ""Full Power"", ""Goku's Family"", ""Youth"", ""Androids/Cell Saga"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Super Saiyan 2"", ""Exploding Rage"", ""All-Out Struggle"", ""Miraculous Awakening""]","[""3015"", ""8745"", ""10745"", ""13745""]","[""2968"", ""8610"", ""10610"", ""14010""]","[""1387"", ""4025"", ""6025"", ""8625""]",,"""Terrifying Conquerors"" Category Ki +3 and HP, ATK & DEF +77%;<br/>or<br/>PHY Type Ki +3 and HP, ATK & DEF +50%",Recoome Eraser Gun (Extreme),"Greatly raises ATK for 1 turn[2], causes supreme damage to enemy and greatly lowers DEF[1]","ATK & DEF +120%; ATK & DEF +30% with each attack received (up to 120%); high chance[3] of guarding all attacks when there is another ""Ginyu Force"" Category ally on the team","[""11138"", ""11942"", ""12746"", ""13550"", ""15550"", ""18550""]","[""12560"", ""13467"", ""14373"", ""15280"", ""17280"", ""20280""]","[""6348"", ""6806"", ""7264"", ""7723"", ""9723"", ""12723""]",,,,,,,,,,,,,,,,,
God of Defiance,Zamasu,120,10-Jan,UR,Extreme STR,1951,"[""Boost All"", ""Damage Reduction"", ""Lower ATK""]","All Types Ki +2 and HP, ATK & DEF +30%",Giga Meteor Storm,Causes destructive damage to enemy,Combat Order,-,"[""Realm of Gods"", ""Potara"", ""Future Saga"", ""Dragon Ball Seekers"", ""Time Travelers"", ""Gifted Warriors""]","[""3427"", ""9940"", ""11940"", ""14940""]","[""2930"", ""7544"", ""9544"", ""12944""]","[""1641"", ""4761"", ""6761"", ""9361""]",,"""Space-Traveling Warriors"" Category Ki +3 and HP, ATK & DEF +77%;<br/>or<br/>STR Type Ki +3 and HP, ATK & DEF +50%",Crusher Ball (Extreme),Raises DEF for 1 turn[1] and causes supreme damage to enemy; raises allies' ATK & DEF by 20% for 1 turn,"ATK & DEF +90%; plus an additional ATK & DEF +20% with each attack performed (up to 60%); Extreme Class allies' Ki +3 and ATK +30%; foresees enemy's Super Attack; ""Ginyu Force"" Category allies' DEF +40% when there is another ""Ginyu Force"" Category ally on the team","[""11138"", ""11942"", ""12746"", ""13550"", ""15550"", ""18550""]","[""12560"", ""13467"", ""14373"", ""15280"", ""17280"", ""20280""]","[""6348"", ""6806"", ""7264"", ""7723"", ""9723"", ""12723""]",,,,,,,,,,,,,,,,,
Innocent Onslaught,Arale Norimaki,120,10-Jan,UR,Super INT,1952,"[""Attack Effective to All"", ""Boost All"", ""Category Matchup"", ""Change Ki Spheres"", ""Lower DEF"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)""]",Reduces damage received by 20%,Energy Bullet,Causes supreme damage to enemy and raises allies' ATK by 20% for 1 turn,Finish Sign,Changes INT Ki Spheres to STR Ki Spheres; ATK & DEF +30%; turns into Giant Ape when conditions are met,"[""Artificial Life Forms"", ""Youth"", ""DB Saga"", ""Crossover""]","[""2912"", ""8447"", ""9647"", ""11447""]","[""2268"", ""6579"", ""7779"", ""9579""]","[""1353"", ""3924"", ""5124"", ""6924""]",,"""Dragon Ball Seekers"" Category Ki +3 and HP, ATK & DEF +77%;<br/>or<br/>AGL Type Ki +3 and HP, ATK & DEF +50%",Blue Impulse[5] (Extreme),"Raises DEF[1], raises ATK for 1 turn[2] and causes supreme damage to enemy","ATK & DEF +100%; plus an additional ATK & DEF +20% per Ki Sphere obtained; high chance[3] of evading enemy's attack (including Super Attack) as the 1st attacker in a turn; medium chance[4] of launching an additional Super Attack as the 2nd or 3rd attacker in a turn; chance of evading enemy's attack (including Super Attack) +20% when there is another ""Ginyu Force"" Category ally on the team","[""7459"", ""7964"", ""8469"", ""8974"", ""10174"", ""11974""]","[""8859"", ""9459"", ""10059"", ""10658"", ""11858"", ""13898""]","[""4636"", ""4950"", ""5264"", ""5578"", ""6778"", ""8338""]",,,,,,,,,,,,,,,,,
Blade of Hope and Dreams,Super Saiyan Trunks (Future),120/140,15-Jan,UR,Super INT,1958,"[""Boost Category"", ""Boost Type"", ""Lower ATK"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense"", ""Stun""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Super Flame Cannon,Causes destructive damage to enemy,Single-Mindedness,-,"[""Hybrid Saiyans"", ""Future Saga"", ""Time Travelers"", ""Vegeta's Family"", ""Super Saiyans"", ""Bond of Master and Disciple"", ""Revenge"", ""Battle of Wits"", ""Miraculous Awakening""]","[""3284"", ""9524"", ""11524"", ""14524""]","[""3128"", ""9074"", ""11074"", ""14074""]","[""1639"", ""4754"", ""6754"", ""9754""]",,"""Planet Namek Saga"" Category Ki +3 and HP, ATK & DEF +77%;<br/>or<br/>TEQ Type Ki +3 and HP, ATK & DEF +50%",Psycho Javelin[4] (Extreme),Greatly raises DEF for 1 turn[2] and causes supreme damage with a high chance of stunning the enemy[3],"ATK & DEF +80%; plus an additional ATK & DEF +40% when Ki is 12; attacked enemy's ATK & DEF -20% for 2 turns and seals the attacked enemy's Super Attack; plus an additional ATK & DEF +10% per ""Ginyu Force"" Category ally on the team (up to 50%)","[""8388"", ""9040"", ""9693"", ""10345"", ""12345"", ""15345""]","[""8401"", ""9055"", ""9708"", ""10362"", ""12362"", ""15762""]","[""6283"", ""6772"", ""7261"", ""7750"", ""9750"", ""12350""]",,,,,,,,,,,,,,,,,
Passion of the Warrior Race,Super Saiyan God SS Vegeta,120/140,15-Jan,UR,Super INT,1959,"[""Boost All"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Angry Kamehameha,Greatly raises ATK for 1 turn[1] and causes supreme damage to enemy,Battle to the Death,ATK +90%; survives K.O. attacks when HP is 20% or above,"[""Realm of Gods"", ""Pure Saiyans"", ""Future Saga"", ""Time Travelers"", ""Vegeta's Family"", ""Siblings' Bond"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Exploding Rage"", ""Gifted Warriors"", ""Attained Evolution""]","[""3176"", ""9212"", ""11212"", ""14212""]","[""3224"", ""9351"", ""11351"", ""14351""]","[""1638"", ""4752"", ""6752"", ""9752""]",,TBA,Milky Cannon (Extreme),TBA,TBA,"[""10005"", ""10783"", ""11561"", ""12339"", ""14339"", ""16939""]","[""8846"", ""9534"", ""10222"", ""10910"", ""12910"", ""15910""]","[""4919"", ""5302"", ""5685"", ""6067"", ""8067"", ""11467""]",,,,,,,,,,,,,,,,,
